alcohol_id,type_name,alco_name,image,detail,
1,"1331,1332",カシスオレンジ,,"カシスリキュール+オレンジジュース,甘口,赤系,甘くフルーティーである,アルコール度数は低い",
2,"1331,1332",ファジーネーブル,,"ピーチリキュール+オレンジジュース,甘口,黄色系,とてもフルーティーでトロピカルジュースみたい,アルコール度数は低い",
3,"1311,1312",ピーチソーダ,,"ピーチリキュール+ソーダ,中甘辛口,黄色系,その名の通りピーチソーダの味がしてさっぱりしている,アルコール度数は低い",
4,"1231,1232",スクリュードライバー,,"ウォッカ+オレンジジュース,中甘辛口,黄色系,口当たりがよくてジュースのような甘さがある,アルコール度数は普通",
5,1111,オレンジブロッサム,,"ジン+オレンジジュース,中甘辛口,黄色系,ジンの爽やかな香りとオレンジのフルーティーなおいしさがある,アルコール度数は普通",
6,1321,カルーアミルク,,"カルーア+牛乳,甘口,茶系,コーヒー牛乳のような甘くまろやかな味がする,アルコール度数は低い",
7,"1121,1122",アレキサンダー,,"ジン+生クリーム+クレーム・ド・カカオ+ナツメグ,甘口,茶系,味はチョコレートケーキを連想させる、まろやかで甘い味わいで女性に人気,アルコール度数は普通",
8,1112,ダイキリ,,"ラム+ライムジュース+砂糖,中甘辛口,白系,ラムを使った代表的なカクテル、さわやかな風味にバランスのとれた甘さがある,アルコール度数は普通",
9,1322,グラスホッパー,,"グリーン・ペパーミント・リキュール+ホワイト・カカオ・リキュール+生クリーム,甘口,緑系,ミントの香りとかなり甘めでなめらかな味わい、一言で言えばチョコミントの味,アルコール度数は普通",
10,"1311,1312",オペレーター,,"白ワイン+ジンジャーエール,中甘中辛,黄色系,味はさっぱりしていて、ソフトドリンクのような甘さで飲みやすい、女性に人気が高い,アルコール度数は低い",
11,"1131,1132",キューバ・リブレ,,"ラム+ライム+コーラ,中甘辛口,茶系,ラム独特の甘さがある,アルコール度数は普通",
12,1221,メロン・ボール,,"ウォッカ+メロンリキュール+オレンジジュース,甘口,緑系,メロンの甘さとオレンジジュースがマッチして飲みやすい,アルコール度数は普通",
13,1222,雪国,,"ウォッカ+ホワイトキュラソー+ライムジュース+砂糖,甘口,緑系,日本人のバーテンダーが作ったカクテルとしては最も有名、甘くて飲みやすい,アルコール度数は高い",
14,1221,ゴッド・ファーザー,,"ウイスキー+アーモンドリキュール,中甘辛口,茶系,アーモンド風味の香りと甘味、ウイスキーの濃厚さが特徴,アルコール度数は高い",
15,"1211,1212",マンハッタン,,"ウイスキー+スイートベルモット+アンゴスチュラビターズ+チェリー+レモンピール,中甘辛口,赤系,ほろ苦い甘みのある味,アルコール度数は高い",
16,"2211,2212",カシスグレープフルーツ,,"カシスリキュール+グレープフルーツジュース,甘口,赤系,それほど甘過ぎずさっぱりと飲める,アルコール度数は低い",
17,2311,ジンバック,,"ドライ・ジン+ジンジャーエール+レモンジュース,中甘辛口,無色,さわやかな飲み口ですっきりとした味わい,アルコール度数は普通",
