alcohol_id,type_name,alco_name,image,detail,detail_english
1,1331、1332,カシスオレンジ,,カシスリキュール+オレンジジュース、甘口、赤系、甘くフルーティーである、アルコール度数は低い。,"Cassis liqueur + orange juice, sweet, red, sweet and fruity, alcohol content is low."
2,1331、1332,ファジーネーブル,,ピーチリキュール+オレンジジュース、甘口、黄色系、とてもフルーティーでトロピカルジュースみたい、アルコール度数は低い。,"Peach liqueur + orange juice, sweet, yellowish, very fruity and tropical juice, alcohol content is low."
3,1311、1312,ピーチソーダ,,ピーチリキュール+ソーダ、中甘辛口、黄色系、その名の通りピーチソーダの味がしてさっぱりしている、アルコール度数は低い。,"Peach liqueur + soda, medium spicy mouth, yellow series, as its name tastes like peach soda, refreshing, alcohol content is low."
4,1231、1232,スクリュードライバー,,ウォッカ+オレンジジュース、中甘辛口、黄色系、口当たりがよくてジュースのような甘さがある、アルコール度数は普通。,"Vodka + orange juice, medium spicy mouth, yellowish, mouthfeeling and sweet like juice, alcohol content is normal."
5,1111,オレンジブロッサム,,ジン+オレンジジュース、中甘辛口、黄色系、ジンの爽やかな香りとオレンジのフルーティーなおいしさがある、アルコール度数は普通。,"Jin + orange juice, medium spicy mouth, yellowish, refreshing scent of gin and orange fruity taste, alcohol content is normal."
6,1321,カルーアミルク,,カルーア+牛乳、甘口、茶系、コーヒー牛乳のような甘くまろやかな味がする、アルコール度数は低い。,"It has a sweet and mellow taste like Kalua + milk, sweet mouth, brown series, coffee milk, alcohol content is low."
7,1121、1122,アレキサンダー,,ジン+生クリーム+クレーム・ド・カカオ+ナツメグ、甘口、茶系、味はチョコレートケーキを連想させる、まろやかで甘い味わいで女性に人気、アルコール度数は普通。,"Jin + Fresh Cream + Claims de Cacao + Nutmeg, Sweet Tea, Brown System, Taste is reminiscent of chocolate cake, mellow and sweet taste popular with women, alcohol content is normal."
8,1112,ダイキリ,,ラム+ライムジュース+砂糖、中甘辛口、白系、ラムを使った代表的なカクテル、さわやかな風味にバランスのとれた甘さがある、アルコール度数は普通。,"Rum + lime juice + sugar, medium sweet spout, white series, typical cocktail using rum, balanced sweetness with refreshing flavor, alcohol content is normal."
9,1322,グラスホッパー,,グリーン・ペパーミント・リキュール+ホワイト・カカオ・リキュール+生クリーム、甘口、緑系、ミントの香りとかなり甘めでなめらかな味わい、一言で言えばチョコミントの味、アルコール度数は普通。,"Green · peppermint · liqueur + white · cacao · liqueur + fresh cream, sweet mouth, green and mint scent and quite sweet and smooth taste, in a nutshell the taste of chocolate mint, alcohol content is normal."
10,1311、1312,オペレーター,,白ワイン+ジンジャーエール、中甘中辛、黄色系、味はさっぱりしていて、ソフトドリンクのような甘さで飲みやすい、女性に人気が高い、アルコール度数は低い。,"White wine + ginger ale, medium sweet spicy, yellowish, taste refreshing, easy to sweet like soft drink, popular in women, alcohol content is low."
